105|1|4|4
106|3|1|1
106|1|1|0
106|2|1|1
107|3|4|4
107|1|4|4
107|2|2|2
112|3|2|2
112|2|4|4
108|1|6|6
111|1|10|10
111|2|5|5
113|1|4|0
110|1|3|0
110|2|1|0
109|1|3|0
115|1|15|15
114|3|1|1
114|1|3|3
114|2|3|3
116|3|2|0
116|1|2|0
116|2|2|0
117|1|2|2
118|1|5|0
122|1|3|3
122|2|2|2
119|1|2|2
119|2|1|1
121|1|3|3
121|2|2|2
120|1|2|2
120|2|1|1
124|3|3|3
124|1|10|10
124|2|3|3
123|3|5|5
123|4|1|1
123|1|5|5
123|2|4|4
125|1|4|4
125|2|2|2
126|3|1|1
126|1|3|3
126|2|2|2
129|3|2|2
129|2|2|2
127|1|2|0
127|2|2|0
131|1|2|2
131|2|2|2
128|3|2|2
128|1|3|3
128|2|2|2
132|3|1|1
132|1|2|2
132|2|1|1
134|1|3|0
133|1|4|0
136|1|4|0
136|2|2|0
135|1|3|3
135|2|3|3
137|3|1|1
137|1|1|1
137|2|1|1
138|2|1|0
140|2|1|0
139|2|2|2
142|1|2|0
142|2|1|0
145|1|5|5
143|1|5|5
144|3|1|1
144|1|5|5
141|3|2|2
141|4|1|1
141|1|3|3
146|1|5|5
146|2|5|5
148|1|5|5
148|2|5|5
147|3|2|2
147|2|3|3
149|1|3|3
149|2|1|1
150|1|1|1
150|2|1|1
151|1|5|5
151|2|5|5
152|1|5|5
153|1|3|3
153|2|1|1
154|1|2|2
154|2|2|2
155|3|2|2
155|1|3|3
156|4|2|2
156|1|5|5
156|2|5|5
157|1|3|3
157|2|2|2
159|3|3|0
159|4|1|0
158|3|1|1
158|1|2|2
160|1|2|2
160|2|2|2
